brand,date,spend,transactions,avg_ticket_size,spend_ly,spend_yoy_pct
BURGER KING,2018-08-13,1381722.39,151069.95,9.146242452585705,,
BURGER KING,2018-08-14,1393853.32,153465.18,9.082537941179883,,
BURGER KING,2018-08-15,1472745.21,160861.22,9.155377598155727,,
BURGER KING,2018-08-16,1551795.77,168068.31,9.233125328623819,,
BURGER KING,2018-08-17,1790941.44,185462.64,9.656615693597372,,
BURGER KING,2018-08-18,1582944.57,151418.93,10.454073146600628,,
BURGER KING,2018-08-19,1397233.4,129551.64,10.785146370976083,,
BURGER KING,2018-08-20,1317024.36,146144.48,9.011796819147737,,
BURGER KING,2018-08-21,1370737.88,151849.22,9.026966882016252,,
BURGER KING,2018-08-22,1492220.97,163262.04,9.140036287675935,,
BURGER KING,2018-08-23,1580827.89,172036.48,9.188910921683586,,
BURGER KING,2018-08-24,1855277.54,193258.43,9.599982469070044,,
BURGER KING,2018-08-25,1624577.05,154920.55,10.486517443941429,,
BURGER KING,2018-08-26,1457908.31,134751.04,10.819273157372292,,
BURGER KING,2018-08-27,1322008.63,148268.89,8.916291408130187,,
BURGER KING,2018-08-28,1382143.06,154978.62,8.918282147563323,,
BURGER KING,2018-08-29,1477909.39,164796.05,8.96811173568784,,
BURGER KING,2018-08-30,1640308.33,179759.36,9.125023197679388,,
BURGER KING,2018-08-31,1971823.57,202845.28,9.720825498133356,,
BURGER KING,2018-09-01,1638178.92,155079.2,10.56349865101187,,
BURGER KING,2018-09-02,1397807.77,129904.18,10.760298629343568,,
BURGER KING,2018-09-03,1347440.26,126232.93,10.674237380056061,,
BURGER KING,2018-09-04,1318015.42,149718.01,8.803319119723804,,
BURGER KING,2018-09-05,1382615.32,157805.69,8.761504860819658,,
BURGER KING,2018-09-06,1492415.05,168057.32,8.880393011146435,,
BURGER KING,2018-09-07,1747107.56,187873.68,9.299373706843875,,
BURGER KING,2018-09-08,1574792.51,153066.75,10.288272992011654,,
BURGER KING,2018-09-09,1343422.48,127645.34,10.524649626848893,,
BURGER KING,2018-09-10,1308339.53,148149.93,8.831185610415071,,
BURGER KING,2018-09-11,1354089.32,154334.7,8.77371919600712,,
BURGER KING,2018-09-12,1423977.37,161886.84,8.796128023747947,,
BURGER KING,2018-09-13,1510209.49,168118.15,8.983024676395738,,
BURGER KING,2018-09-14,1736418.21,183864.68,9.44400093590569,,
BURGER KING,2018-09-15,1535832.37,148560.62,10.338085355324985,,
BURGER KING,2018-09-16,1353799.95,126504.88,10.70156305432644,,
BURGER KING,2018-09-17,1284723.09,145113.74,8.853214657688515,,
BURGER KING,2018-09-18,1351119.29,153364.57,8.809852823243334,,
BURGER KING,2018-09-19,1449222.13,163450.6,8.866422821329502,,
BURGER KING,2018-09-20,1549218.16,172035.94,9.005200657490521,,
BURGER KING,2018-09-21,1815109.32,193592.68,9.375919172150518,,
BURGER KING,2018-09-22,1646655.37,157601.92,10.448193587996897,,
BURGER KING,2018-09-23,1403264.98,132788.22,10.56769177265875,,
BURGER KING,2018-09-24,1332017.77,150018.55,8.879020427807095,,
BURGER KING,2018-09-25,1403229.38,158237.8,8.867851929185061,,
BURGER KING,2018-09-26,1514727.55,168933.95,8.966389230820685,,
BURGER KING,2018-09-27,1631985.26,179009.55,9.116749692963309,,
BURGER KING,2018-09-28,1888183.53,199685.73,9.455775983591817,,
BURGER KING,2018-09-29,1740825.39,165034.48,10.548252643932345,,
BURGER KING,2018-09-30,1482170.32,137840.2,10.752816087034116,,
BURGER KING,2018-10-01,1387663.89,154853.11,8.961162549463811,,
BURGER KING,2018-10-02,1429219.81,160461.58,8.906928437324375,,
BURGER KING,2018-10-03,1518008.23,170272.33,8.915178584800008,,
BURGER KING,2018-10-04,1616769.44,177190.18,9.12448669559453,,
BURGER KING,2018-10-05,1871727.46,197486.02,9.47777194557873,,
BURGER KING,2018-10-06,1673955.63,159251.42,10.511401593781706,,
BURGER KING,2018-10-07,1423279.55,133029.89,10.698945552762614,,
BURGER KING,2018-10-08,1364061.32,149911.12,9.099133673339244,,
BURGER KING,2018-10-09,1393271.66,157444.17,8.849306138169485,,
BURGER KING,2018-10-10,1427088.96,160577.81,8.887211502012638,,
BURGER KING,2018-10-11,1544314.21,168784.1,9.149642709236236,,
BURGER KING,2018-10-12,1878034.6,197683.19,9.500224070645562,,
BURGER KING,2018-10-13,1672938.3,160082.53,10.450473889936648,,
BURGER KING,2018-10-14,1432364.98,135626.16,10.561126113133335,,
BURGER KING,2018-10-15,1358986.7,154294.45,8.8077484316513,,
BURGER KING,2018-10-16,1405239.12,160966.92,8.729987006025834,,
BURGER KING,2018-10-17,1497673.9,170565.11,8.780658013822405,,
BURGER KING,2018-10-18,1639023.41,181319.42,9.039425616958182,,
BURGER KING,2018-10-19,1896439.23,200354.71,9.465408774268397,,
BURGER KING,2018-10-20,1693204.05,162143.05,10.442655728999794,,
BURGER KING,2018-10-21,1467899.14,138038.73,10.633965844223573,,
BURGER KING,2018-10-22,1357287.93,154948.82,8.759588682250047,,
BURGER KING,2018-10-23,1437425.85,163889.65,8.77069326830584,,
BURGER KING,2018-10-24,1532033.37,173545.82,8.827832154067439,,
BURGER KING,2018-10-25,1632269.55,181566.06,8.989948617048803,,
BURGER KING,2018-10-26,1972845.78,206770.95,9.54121350218684,,
BURGER KING,2018-10-27,1736705.95,166481.08,10.431851775589154,,
BURGER KING,2018-10-28,1532414.07,143549.19,10.675184374081107,,
BURGER KING,2018-10-29,1416012.88,160605.92,8.816691688575364,,
BURGER KING,2018-10-30,1510819.78,170221.68,8.875601392255088,,
BURGER KING,2018-10-31,1708184.64,180894.68,9.442978864828971,,
BURGER KING,2018-11-01,1661258.75,183204.13,9.06780185577694,,
BURGER KING,2018-11-02,1945246.82,206827.93,9.405145717021874,,
BURGER KING,2018-11-03,1725060.24,166177.18,10.38084916352534,,
BURGER KING,2018-11-04,1520034.98,143910.95,10.562330246586516,,
BURGER KING,2018-11-05,1416728.7,160879.61,8.806142058648701,,
BURGER KING,2018-11-06,1514234.1,170551.31,8.87846654476005,,
BURGER KING,2018-11-07,1490866.62,170489.9,8.744603756586168,,
BURGER KING,2018-11-08,1628250.87,181644.44,8.963945552090667,,
BURGER KING,2018-11-09,1875276.31,198988.55,9.424041282777326,,
BURGER KING,2018-11-10,1665762.1,159867.85,10.419619079133172,,
BURGER KING,2018-11-11,1431304.22,134949.36,10.60623199695056,,
BURGER KING,2018-11-12,1364458.55,149721.61,9.11330401803721,,
BURGER KING,2018-11-13,1381828.36,158685.97,8.70794286350583,,
BURGER KING,2018-11-14,1505805.44,170612.2,8.825895451790668,,
BURGER KING,2018-11-15,1546629.75,170436.41,9.074526681241409,,
BURGER KING,2018-11-16,1913954.14,201032.4,9.520625232549579,,
BURGER KING,2018-11-17,1728519.3,165299.97,10.45686396676297,,
BURGER KING,2018-11-18,1473502.15,138208.97,10.661407504881918,,
BURGER KING,2018-11-19,1499294.59,165663.94,9.050216902966332,,
BURGER KING,2018-11-20,1627852.9,176896.09,9.202311368216222,,
BURGER KING,2018-11-21,1898956.36,190725.23,9.956503185236688,,
BURGER KING,2018-11-22,459653.87,41062.73,11.193943266801792,,
BURGER KING,2018-11-23,1419371.02,135829.39,10.449660563152053,,
BURGER KING,2018-11-24,1463607.26,136805.57,10.698447877524284,,
BURGER KING,2018-11-25,1460811.19,134674.52,10.846975285302669,,
BURGER KING,2018-11-26,1371102.92,154901.49,8.851450815611908,,
BURGER KING,2018-11-27,1415490.87,162143.32,8.729874718243096,,
BURGER KING,2018-11-28,1513749.75,170630.72,8.871496000251303,,
BURGER KING,2018-11-29,1656216.41,182904.11,9.055107673632921,,
BURGER KING,2018-11-30,1984495.45,210645.24,9.421031540992809,,
BURGER KING,2018-12-01,1771738.98,169668.07,10.442383060053668,,
BURGER KING,2018-12-02,1473199.84,139587.82,10.553928272538393,,
BURGER KING,2018-12-03,1451532.94,164974.22,8.798544039183819,,
BURGER KING,2018-12-04,1481123.38,172628.57,8.579827661203472,,
BURGER KING,2018-12-05,1564187.49,181769.03,8.605357524326338,,
BURGER KING,2018-12-06,1692054.83,191424.3,8.839289630417873,,
BURGER KING,2018-12-07,1907204.82,206547.91,9.23371638086292,,
BURGER KING,2018-12-08,1759232.74,170887.48,10.29468478322695,,
BURGER KING,2018-12-09,1410602.67,133155.26,10.593668398830056,,
BURGER KING,2018-12-10,1395473.53,160342.15,8.703098530236748,,
BURGER KING,2018-12-11,1481882.31,171736.28,8.628825021713526,,
BURGER KING,2018-12-12,1558705.94,178457.93,8.734304718204452,,
BURGER KING,2018-12-13,1692735.43,188216.96,8.993532941983549,,
BURGER KING,2018-12-14,1911789.9,203631.82,9.388463453305087,,
BURGER KING,2018-12-15,1783578.76,170771.14,10.44426335737994,,
BURGER KING,2018-12-16,1530073.1,142579.79,10.73134628687558,,
BURGER KING,2018-12-17,1476460.92,166644.86,8.859924752554624,,
BURGER KING,2018-12-18,1540499.79,172154.63,8.948349457693935,,
BURGER KING,2018-12-19,1658356.68,182845.2,9.069730460520702,,
BURGER KING,2018-12-20,1732794.66,186857.29,9.273358615015768,,
BURGER KING,2018-12-21,1980029.71,200689.01,9.866159138460048,,
BURGER KING,2018-12-22,1830965.04,170763.19,10.722246638751596,,
BURGER KING,2018-12-23,1584719.17,143749.2,11.024194708561854,,
BURGER KING,2018-12-24,1137403.86,111543.99,10.196908502197205,,
BURGER KING,2018-12-25,368948.18,27307.36,13.510942837388894,,
BURGER KING,2018-12-26,1364562.92,138263.33,9.869304608821443,,
BURGER KING,2018-12-27,1448051.51,149110.84,9.71124238854801,,
BURGER KING,2018-12-28,1679249.5,168331.99,9.975819212973127,,
BURGER KING,2018-12-29,1511041.77,142470.2,10.606019855380282,,
BURGER KING,2018-12-30,1386616.04,127144.0,10.905870823633046,,
BURGER KING,2018-12-31,1310189.46,133601.62,9.80668842189189,,
BURGER KING,2019-01-01,1043603.64,94393.19,11.055920877342952,929955.15,12.22
BURGER KING,2019-01-02,1334237.76,144352.21,9.242932685270285,1203701.94,10.84
BURGER KING,2019-01-03,1467320.95,159402.66,9.205122110258385,1287404.29,13.98
BURGER KING,2019-01-04,1686986.45,178207.89,9.466395960358431,1237328.54,36.34
BURGER KING,2019-01-05,1515847.07,146980.1,10.313280981575057,1492856.05,1.54
BURGER KING,2019-01-06,1307696.08,124491.77,10.504277351024891,1392484.2,-6.09
BURGER KING,2019-01-07,1270146.34,144639.33,8.781472784753637,1250820.35,1.55
BURGER KING,2019-01-08,1298061.01,149774.58,8.666764480327704,1145955.14,13.27
BURGER KING,2019-01-09,1328778.53,153404.02,8.661953774092753,1211272.82,9.7
BURGER KING,2019-01-10,1435179.74,163807.52,8.761378842680728,1289989.43,11.26
BURGER KING,2019-01-11,1673028.49,180969.29,9.244819880765405,1333394.63,25.47
BURGER KING,2019-01-12,1460219.51,142038.87,10.280421901413325,1554389.19,-6.06
BURGER KING,2019-01-13,1226948.7,117111.65,10.476743347053858,1403959.63,-12.61
BURGER KING,2019-01-14,1234524.76,140377.73,8.794306333347889,1226957.6,0.62
BURGER KING,2019-01-15,1322239.43,150661.95,8.776200162018345,1208137.29,9.44
BURGER KING,2019-01-16,1389841.79,157125.39,8.845430964403652,1144220.03,21.47
BURGER KING,2019-01-17,1467078.1,164021.1,8.94444739121979,1148285.38,27.76
BURGER KING,2019-01-18,1726298.99,182278.8,9.470651496498771,1340053.83,28.82
BURGER KING,2019-01-19,1440765.67,138315.85,10.416490011809925,1597159.9,-9.79
BURGER KING,2019-01-20,1194829.14,112012.03,10.6669715743925,1509093.29,-20.82
BURGER KING,2019-01-21,1308886.93,136762.48,9.570511809964252,1253923.05,4.38
BURGER KING,2019-01-22,1293557.46,145945.91,8.86326626076743,1169338.42,10.62
BURGER KING,2019-01-23,1410255.52,157059.98,8.97908888056652,1251380.66,12.7
BURGER KING,2019-01-24,1518724.36,167551.25,9.06423771831007,1348522.68,12.62
